OrderID,Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23
O0011,5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
O0048,1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
O0105,1,soda,,,,,,,,,,,,,,,,,,,,,,
O0164,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O0186,23,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
O0262,1,pork,,,,,,,,,,,,,,,,,,,,,,
O0305,5,onions,soda,chewing gum,chocolate,newspapers,,,,,,,,,,,,,,,,,,
O0309,9,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner,,,,,,,,,,,,,,
O0358,1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,
O0371,2,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
O0444,1,soda,,,,,,,,,,,,,,,,,,,,,,
O0484,11,sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins,,,,,,,,,,,,
O0623,7,beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels,,,,,,,,,,,,,,,,
O0651,2,coffee,soda,,,,,,,,,,,,,,,,,,,,,
O0668,3,whole milk,hard cheese,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,
O0732,7,meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,
O0738,4,chicken,onions,herbs,hygiene articles,,,,,,,,,,,,,,,,,,,
O0808,1,ice cream,,,,,,,,,,,,,,,,,,,,,,
O0875,4,beef,root vegetables,whole milk,cream cheese,,,,,,,,,,,,,,,,,,,
O0876,1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
O0879,3,yogurt,beverages,coffee,,,,,,,,,,,,,,,,,,,,
O0881,2,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,
O0937,8,beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,potted plants,,,,,,,,,,,,,,,
O0986,2,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,
O0999,5,pork,beef,ice cream,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,
O1018,1,bottled water,,,,,,,,,,,,,,,,,,,,,,
O1028,2,UHT-milk,bottled water,,,,,,,,,,,,,,,,,,,,,
O1134,5,tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,,,,,,,,,,,,,,,
O1263,17,turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,butter milk,yogurt,rolls/buns,oil,fruit/vegetable juice,waffles,candy,,,,,,
O1350,17,frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine,soda,salty snack,chocolate,chocolate marshmallow,detergent,hygiene articles,napkins,potted plants,,,,,,
O1368,5,frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,,,,,,,,,,,,,,,
O1450,6,herbs,curd,roll products,vinegar,canned beer,newspapers,,,,,,,,,,,,,,,,,
O1475,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O1477,2,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,
O1540,3,pip fruit,yogurt,sliced cheese,,,,,,,,,,,,,,,,,,,,
O1576,3,pork,other vegetables,specialty fat,,,,,,,,,,,,,,,,,,,,
O1669,3,domestic eggs,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
O1732,2,butter,cleaner,,,,,,,,,,,,,,,,,,,,,
O1785,2,beverages,pastry,,,,,,,,,,,,,,,,,,,,,
O1862,2,butter,white wine,,,,,,,,,,,,,,,,,,,,,
O1893,11,frankfurter,pork,citrus fruit,pip fruit,other vegetables,whipped/sour cream,UHT-milk,salad dressing,frozen potato products,salty snack,newspapers,,,,,,,,,,,,
O1915,7,chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener,,,,,,,,,,,,,,,,
O1958,2,frozen vegetables,frozen meals,,,,,,,,,,,,,,,,,,,,,
O1961,4,ice cream,sugar,napkins,dishes,,,,,,,,,,,,,,,,,,,
O1985,3,cat food,chocolate,specialty chocolate,,,,,,,,,,,,,,,,,,,,
O2025,3,whole milk,margarine,bottled water,,,,,,,,,,,,,,,,,,,,
O2087,2,bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,
O2102,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O2152,11,chicken,citrus fruit,yogurt,UHT-milk,soft cheese,rolls/buns,margarine,mustard,coffee,kitchen towels,candles,,,,,,,,,,,,
O2157,5,whole milk,soda,canned beer,liquor (appetizer),newspapers,,,,,,,,,,,,,,,,,,
O2214,9,chicken,beef,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,rolls/buns,,,,,,,,,,,,,,
O2237,4,sausage,liver loaf,specialty cheese,soda,,,,,,,,,,,,,,,,,,,
O2243,5,other vegetables,white bread,margarine,canned beer,rum,,,,,,,,,,,,,,,,,,
O2382,3,sausage,coffee,bottled water,,,,,,,,,,,,,,,,,,,,
O2423,2,snack products,chocolate,,,,,,,,,,,,,,,,,,,,,
O2429,2,spread cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,
O2467,1,whole milk,,,,,,,,,,,,,,,,,,,,,,
O2472,3,root vegetables,liquor,shopping bags,,,,,,,,,,,,,,,,,,,,
O2586,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O2594,6,ham,citrus fruit,root vegetables,whipped/sour cream,canned beer,napkins,,,,,,,,,,,,,,,,,
O2848,9,sausage,root vegetables,whole milk,rolls/buns,brown bread,margarine,soda,long life bakery product,cake bar,,,,,,,,,,,,,,
O2871,2,frozen meals,bottled beer,,,,,,,,,,,,,,,,,,,,,
O2982,6,frankfurter,other vegetables,mustard,soda,napkins,light bulbs,,,,,,,,,,,,,,,,,
O3013,1,other vegetables,,,,,,,,,,,,,,,,,,,,,,
O3017,5,root vegetables,onions,other vegetables,frozen fruits,canned beer,,,,,,,,,,,,,,,,,,
O3032,16,pork,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pastry,jam,soda,waffles,candy,napkins,,,,,,,
O3094,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O3116,3,brown bread,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,
O3209,11,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,curd cheese,frozen vegetables,soups,cat food,chewing gum,,,,,,,,,,,,
O3267,3,herbs,bottled water,napkins,,,,,,,,,,,,,,,,,,,,
O3275,6,other vegetables,frozen potato products,coffee,salty snack,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,
O3292,8,meat,turkey,citrus fruit,tropical fruit,herbs,other vegetables,frozen meals,shopping bags,,,,,,,,,,,,,,,
O3367,6,beverages,frozen vegetables,coffee,soda,fruit/vegetable juice,cling film/bags,,,,,,,,,,,,,,,,,
O3377,3,misc. beverages,bottled beer,white wine,,,,,,,,,,,,,,,,,,,,
O3524,2,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,
O3548,10,tropical fruit,grapes,whole milk,pastry,dog food,soda,waffles,specialty bar,cleaner,shopping bags,,,,,,,,,,,,,
O3626,5,sausage,yogurt,white wine,red/blush wine,shopping bags,,,,,,,,,,,,,,,,,,
O3628,1,other vegetables,,,,,,,,,,,,,,,,,,,,,,
O3643,4,sausage,root vegetables,rolls/buns,soda,,,,,,,,,,,,,,,,,,,
O3746,1,yogurt,,,,,,,,,,,,,,,,,,,,,,
O3788,4,rolls/buns,pastry,napkins,newspapers,,,,,,,,,,,,,,,,,,,
O3801,4,citrus fruit,other vegetables,frozen vegetables,sugar,,,,,,,,,,,,,,,,,,,
O3830,2,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,
O3901,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O3968,9,sausage,curd,yogurt,cream cheese,brown bread,pastry,coffee,seasonal products,napkins,,,,,,,,,,,,,,
O4224,3,frankfurter,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,
O4263,6,pip fruit,bottled water,soda,fruit/vegetable juice,canned beer,newspapers,,,,,,,,,,,,,,,,,
O4274,4,whole milk,whipped/sour cream,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,
O4284,1,frankfurter,,,,,,,,,,,,,,,,,,,,,,
O4369,11,other vegetables,whole milk,curd,cream cheese,frozen vegetables,roll products,sugar,soda,bottled beer,salty snack,popcorn,,,,,,,,,,,,
O4384,3,soda,cling film/bags,house keeping products,,,,,,,,,,,,,,,,,,,,
O4389,8,sausage,chicken,root vegetables,other vegetables,yogurt,whipped/sour cream,rolls/buns,pastry,,,,,,,,,,,,,,,
O4406,12,sausage,chicken,whole milk,processed cheese,frozen vegetables,rolls/buns,rice,margarine,sugar,canned fruit,pickled vegetables,hygiene articles,,,,,,,,,,,
O4449,20,frankfurter,turkey,citrus fruit,whole milk,curd,frozen potato products,rolls/buns,white bread,pastry,semi-finished bread,pickled vegetables,sweet spreads,bottled water,soda,fruit/vegetable juice,bottled beer,white wine,prosecco,chocolate,candy,,,
O4522,12,pork,onions,other vegetables,whole milk,curd,butter milk,whipped/sour cream,rolls/buns,liquor (appetizer),salty snack,waffles,newspapers,,,,,,,,,,,
O4591,2,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,
O4676,3,pork,root vegetables,pasta,,,,,,,,,,,,,,,,,,,,
O4733,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O4766,5,soda,bottled beer,liquor,red/blush wine,napkins,,,,,,,,,,,,,,,,,,
O4925,5,sausage,frozen vegetables,rolls/buns,soda,red/blush wine,,,,,,,,,,,,,,,,,,
O5002,13,finished products,turkey,grapes,onions,other vegetables,whole milk,butter milk,yogurt,whipped/sour cream,hard cheese,frozen vegetables,fruit/vegetable juice,napkins,,,,,,,,,,
O5071,4,whole milk,domestic eggs,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,
O5099,4,beverages,rolls/buns,soda,seasonal products,,,,,,,,,,,,,,,,,,,
O5152,3,domestic eggs,waffles,napkins,,,,,,,,,,,,,,,,,,,,
O5178,4,frankfurter,whole milk,white bread,brown bread,,,,,,,,,,,,,,,,,,,
O5253,1,ice cream,,,,,,,,,,,,,,,,,,,,,,
O5330,9,sausage,meat,whole milk,curd,dessert,yogurt,brown bread,dental care,male cosmetics,,,,,,,,,,,,,,
O5361,1,newspapers,,,,,,,,,,,,,,,,,,,,,,
O5392,8,pork,tropical fruit,pip fruit,other vegetables,whipped/sour cream,chocolate,chocolate marshmallow,shopping bags,,,,,,,,,,,,,,,
O5402,9,beef,pip fruit,whole milk,butter,curd,yogurt,condensed milk,white bread,detergent,,,,,,,,,,,,,,
O5440,2,other vegetables,cream cheese,,,,,,,,,,,,,,,,,,,,,
O5519,1,beef,,,,,,,,,,,,,,,,,,,,,,
O5533,2,citrus fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,
O5635,14,sausage,chicken,herbs,other vegetables,whole milk,whipped/sour cream,sliced cheese,domestic eggs,rolls/buns,brown bread,margarine,soda,waffles,chocolate marshmallow,,,,,,,,,
O5735,10,meat,whole milk,dessert,soft cheese,frozen meals,rolls/buns,misc. beverages,long life bakery product,chocolate,specialty bar,,,,,,,,,,,,,
O5747,1,newspapers,,,,,,,,,,,,,,,,,,,,,,
O5772,5,citrus fruit,berries,curd,yogurt,soda,,,,,,,,,,,,,,,,,,
O5801,4,whipped/sour cream,long life bakery product,napkins,potted plants,,,,,,,,,,,,,,,,,,,
O5927,2,whole milk,butter,,,,,,,,,,,,,,,,,,,,,
O6114,1,soda,,,,,,,,,,,,,,,,,,,,,,
O6126,8,berries,whipped/sour cream,coffee,bottled water,soda,white wine,salty snack,hygiene articles,,,,,,,,,,,,,,,
O6189,2,yogurt,specialty bar,,,,,,,,,,,,,,,,,,,,,
O6200,11,frankfurter,sausage,root vegetables,other vegetables,yogurt,UHT-milk,white bread,long life bakery product,chocolate,specialty bar,candy,,,,,,,,,,,,
O6202,7,sausage,tropical fruit,root vegetables,other vegetables,cream cheese,pickled vegetables,candles,,,,,,,,,,,,,,,,
O6282,15,beef,tropical fruit,onions,whole milk,butter,yogurt,rolls/buns,brown bread,sauces,canned vegetables,bottled water,fruit/vegetable juice,canned beer,long life bakery product,specialty chocolate,,,,,,,,
O6515,1,hamburger meat,,,,,,,,,,,,,,,,,,,,,,
O6523,5,yogurt,pastry,soups,detergent,flower (seeds),,,,,,,,,,,,,,,,,,
O6684,1,canned beer,,,,,,,,,,,,,,,,,,,,,,
O6725,3,bottled water,soda,potted plants,,,,,,,,,,,,,,,,,,,,
O6738,1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
O6740,11,sausage,ham,root vegetables,other vegetables,soft cheese,sliced cheese,mustard,specialty vegetables,bottled beer,rum,long life bakery product,,,,,,,,,,,,
O6796,4,pork,root vegetables,bottled water,soda,,,,,,,,,,,,,,,,,,,
O6840,3,whipped/sour cream,ice cream,potted plants,,,,,,,,,,,,,,,,,,,,
O7029,1,white wine,,,,,,,,,,,,,,,,,,,,,,
O7052,7,tropical fruit,root vegetables,whole milk,condensed milk,rolls/buns,bottled beer,waffles,,,,,,,,,,,,,,,,
O7053,3,oil,pickled vegetables,hygiene articles,,,,,,,,,,,,,,,,,,,,
O7060,4,whole milk,sliced cheese,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,
O7063,2,domestic eggs,candy,,,,,,,,,,,,,,,,,,,,,
O7073,2,yogurt,light bulbs,,,,,,,,,,,,,,,,,,,,,
O7140,1,whole milk,,,,,,,,,,,,,,,,,,,,,,
O7150,6,sausage,pastry,soda,salty snack,newspapers,shopping bags,,,,,,,,,,,,,,,,,
O7170,2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,
O7174,1,tropical fruit,,,,,,,,,,,,,,,,,,,,,,
O7199,5,root vegetables,UHT-milk,condensed milk,white bread,shopping bags,,,,,,,,,,,,,,,,,,
O7270,10,sausage,other vegetables,whole milk,whipped/sour cream,domestic eggs,pastry,meat spreads,instant coffee,bottled water,soda,,,,,,,,,,,,,
O7331,1,tropical fruit,,,,,,,,,,,,,,,,,,,,,,
O7385,4,whole milk,curd,cream cheese,shopping bags,,,,,,,,,,,,,,,,,,,
O7494,4,beef,tropical fruit,margarine,bottled water,,,,,,,,,,,,,,,,,,,
O7528,5,grapes,hard cheese,margarine,specialty fat,newspapers,,,,,,,,,,,,,,,,,,
O7549,1,shopping bags,,,,,,,,,,,,,,,,,,,,,,
O7571,4,citrus fruit,other vegetables,whole milk,soda,,,,,,,,,,,,,,,,,,,
O7586,2,turkey,seasonal products,,,,,,,,,,,,,,,,,,,,,
O7602,1,beverages,,,,,,,,,,,,,,,,,,,,,,
O7638,2,cake bar,specialty chocolate,,,,,,,,,,,,,,,,,,,,,
O7700,1,sausage,,,,,,,,,,,,,,,,,,,,,,
O7702,3,other vegetables,whole milk,soda,,,,,,,,,,,,,,,,,,,,
O7826,9,meat,beef,berries,other vegetables,curd,yogurt,whipped/sour cream,UHT-milk,brown bread,,,,,,,,,,,,,,
O7837,6,citrus fruit,tropical fruit,whole milk,frozen meals,rolls/buns,brown bread,,,,,,,,,,,,,,,,,
O7861,2,beef,margarine,,,,,,,,,,,,,,,,,,,,,
O7864,5,frankfurter,beef,berries,other vegetables,whole milk,,,,,,,,,,,,,,,,,,
O7897,8,frankfurter,processed cheese,domestic eggs,white bread,brown bread,ketchup,soda,hygiene articles,,,,,,,,,,,,,,,
O7956,2,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,
O7968,2,packaged fruit/vegetables,canned fish,,,,,,,,,,,,,,,,,,,,,
O7978,5,soda,bottled beer,liquor,red/blush wine,shopping bags,,,,,,,,,,,,,,,,,,
O8015,3,whole milk,cocoa drinks,shopping bags,,,,,,,,,,,,,,,,,,,,
O8019,14,ham,pork,citrus fruit,pip fruit,root vegetables,other vegetables,butter milk,beverages,sliced cheese,frozen vegetables,frozen fish,oil,margarine,canned vegetables,,,,,,,,,
O8031,6,pork,frozen potato products,rolls/buns,pastry,soda,white wine,,,,,,,,,,,,,,,,,
O8034,2,packaged fruit/vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,
O8108,1,whole milk,,,,,,,,,,,,,,,,,,,,,,
O8152,2,coffee,syrup,,,,,,,,,,,,,,,,,,,,,
O8193,3,canned fish,canned beer,chocolate,,,,,,,,,,,,,,,,,,,,
O8199,7,tropical fruit,grapes,frozen meals,brown bread,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,
O8225,6,beef,frozen vegetables,rolls/buns,soda,chewing gum,photo/film,,,,,,,,,,,,,,,,,
O8290,8,berries,whole milk,curd,yogurt,rolls/buns,pastry,honey,chocolate,,,,,,,,,,,,,,,
O8294,6,tropical fruit,root vegetables,curd,yogurt,tea,newspapers,,,,,,,,,,,,,,,,,
O8493,3,yogurt,frozen fish,rolls/buns,,,,,,,,,,,,,,,,,,,,
O8588,1,canned vegetables,,,,,,,,,,,,,,,,,,,,,,
O8664,3,pip fruit,semi-finished bread,soups,,,,,,,,,,,,,,,,,,,,
O8670,1,napkins,,,,,,,,,,,,,,,,,,,,,,
O8697,4,sausage,rolls/buns,pastry,cat food,,,,,,,,,,,,,,,,,,,
O8772,2,whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,
O8774,10,citrus fruit,tropical fruit,whole milk,curd,dessert,mayonnaise,domestic eggs,margarine,sugar,potted plants,,,,,,,,,,,,,
O8937,3,chocolate,candy,shopping bags,,,,,,,,,,,,,,,,,,,,
O8977,3,sausage,whole milk,white bread,,,,,,,,,,,,,,,,,,,,
O8984,5,frozen fish,brown bread,canned beer,rum,newspapers,,,,,,,,,,,,,,,,,,
O9072,6,citrus fruit,whole milk,whipped/sour cream,rolls/buns,margarine,cling film/bags,,,,,,,,,,,,,,,,,
O9100,3,berries,other vegetables,semi-finished bread,,,,,,,,,,,,,,,,,,,,
O9163,4,root vegetables,herbs,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,,,,,,
O9243,5,pastry,chocolate,specialty bar,candy,seasonal products,,,,,,,,,,,,,,,,,,
O9248,1,beverages,,,,,,,,,,,,,,,,,,,,,,
O9311,5,tropical fruit,yogurt,rolls/buns,candy,shopping bags,,,,,,,,,,,,,,,,,,
O9344,4,bottled beer,brandy,specialty chocolate,skin care,,,,,,,,,,,,,,,,,,,
O9346,6,hamburger meat,yogurt,margarine,sauces,canned vegetables,soda,,,,,,,,,,,,,,,,,
O9401,1,sugar,,,,,,,,,,,,,,,,,,,,,,
O9402,7,sausage,other vegetables,cream cheese,soda,canned beer,white wine,specialty chocolate,,,,,,,,,,,,,,,,
O9404,5,sausage,bottled water,canned beer,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,
O9421,2,curd,specialty chocolate,,,,,,,,,,,,,,,,,,,,,
O9565,9,citrus fruit,whole milk,yogurt,spread cheese,brown bread,bottled beer,white wine,long life bakery product,flower (seeds),,,,,,,,,,,,,,
O9676,10,ham,tropical fruit,whole milk,dessert,butter milk,brown bread,pastry,oil,cake bar,chocolate,,,,,,,,,,,,,
O9793,17,pork,hamburger meat,pip fruit,root vegetables,onions,other vegetables,whole milk,dessert,whipped/sour cream,soft cheese,hard cheese,domestic eggs,salt,pasta,cat food,fruit/vegetable juice,kitchen towels,,,,,,
